"id","sequence","name","description","tax_group_id/id","type_tax_use","amount_type","amount","account_id/id","refund_account_id/id","price_include","children_tax_ids/id","tag_ids/id","chart_template_id/id"
"tax_tmpl_PPDV13D",50,"PPDV 13% na dobra","PPDV 13% D","tax_group_ppdv13","purchase","percent",13,"kp_rrif_140011","kp_rrif_140011","FALSE",,"tax_tag_III_2","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_PPDV5D",100,"PPDV 5% na dobra","PPDV  5% D",,"purchase","percent",5,"kp_rrif_140010","kp_rrif_140010","FALSE",,"tax_tag_III_1","l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_PPDV25U",11,"PPDV 25% na usluge","PPDV 25% U","tax_group_ppdv25","purchase","percent",25,"kp_rrif_140012","kp_rrif_140012","FALSE",,"tax_tag_III_3","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_PPDV13U",51,"PPDV 13% na usluge","PPDV 13% U","tax_group_ppdv13","purchase","percent",13,"kp_rrif_140011","kp_rrif_140011","FALSE",,"tax_tag_III_2","l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_PPDV25A",12,"PPDV 25% dani predujmovi","PPDV 25% A","tax_group_ppdv25","purchase","percent",25,"kp_rrif_140022","kp_rrif_140022","FALSE",,"tax_tag_III_3","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_PPDV13A",52,"PPDV 13% dani predujmovi","PPDV 13% A","tax_group_ppdv13","purchase","percent",13,"kp_rrif_140021","kp_rrif_140021","FALSE",,"tax_tag_III_2","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_PPDV5A",102,"PPDV 5% dani predujmovi","PPDV 5% A",,"purchase","percent",5,"kp_rrif_140020","kp_rrif_140020","FALSE",,"tax_tag_III_1","l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_N-PPDV25D",13,"PPDV 25% dobra nepriznati","N-PPDV 25% D","tax_group_ppdv25","purchase","percent",25,"kp_rrif_14080","kp_rrif_14080","FALSE",,,"l10n_hr_coa_rrif_2015_template"
"tax_tmpl_N-PPDV13D",53,"PPDV 13% dobra nepriznati","N-PPDV 13% D","tax_group_ppdv13","purchase","percent",13,"kp_rrif_14080","kp_rrif_14080","FALSE",,,"l10n_hr_coa_rrif_2015_template"
"tax_tmpl_N-PPDV5D",103,"PPDV 5% dobra nepriznati","N-PPDV 5% D",,"purchase","percent",5,"kp_rrif_14080","kp_rrif_14080","FALSE",,,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_N-PPDV25U",13,"PPDV 25% usluge nepriznati","N-PPDV 25% U","tax_group_ppdv25","purchase","percent",25,"kp_rrif_14080","kp_rrif_14080","FALSE",,,"l10n_hr_coa_rrif_2015_template"
"tax_tmpl_N-PPDV13U",53,"PPDV 13% usluge nepriznati","N-PPDV 13% U","tax_group_ppdv13","purchase","percent",13,"kp_rrif_14080","kp_rrif_14080","FALSE",,,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-TPO-P-25",100,"Nabava – TPO pretporez 25%","D-TPO-P-25%",,"none","percent",25,"kp_rrif_14011","kp_rrif_14011","FALSE",,"tax_tag_II_4","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-TPO-O-25",100,"Nabava - TPO obveza 25%","D-TPO-O-25%",,"none","percent",-25,"kp_rrif_24011","kp_rrif_24011","FALSE",,"tax_tag_III_4","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-TPO25",150,"Nabava - tuzemni prijenos porez. Obveze","D-TPO 25%",,"purchase","group",,,,"FALSE","tax_tmpl_D-TPO-P-25,tax_tmpl_D-TPO-O-25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-EU-P5",100,"D-EU Pretporez 5% roba","D-EU-P 5%",,"none","percent",5,"kp_rrif_14020","kp_rrif_14020","FALSE",,"tax_tag_III_5","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-EU-O5",100,"D-EU Obveza 5% roba","D-EU-O 5%",,"none","percent",-5,"kp_rrif_24020","kp_rrif_24020","FALSE",,"tax_tag_II_5","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU5D",105,"EU Stjecanje dobara 5%","EU 5%D",,"purchase","group",,,,"FALSE","tax_tmpl_D-EU-P5,tax_tmpl_D-EU-O5",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-EU-P13",100,"D-EU Pretporez 13% roba","D-EU-P 13%",,"none","percent",13,"kp_rrif_14021","kp_rrif_14021","FALSE",,"tax_tag_III_6","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-EU-O13",100,"D-EU Obveza 13% roba","D-EU-O 13%",,"none","percent",-13,"kp_rrif_24021","kp_rrif_24021","FALSE",,"tax_tag_II_6","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU13D",55,"EU Stjecanje dobara 13%","EU 13% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-EU-P13,tax_tmpl_D-EU-O13",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-EU-P25",100,"D-EU Pretporez 25% roba","D-EU-P 25%",,"none","percent",25,"kp_rrif_14022","kp_rrif_14022","FALSE",,"tax_tag_III_7","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-EU-O25",100,"D-EU Obveza 25% roba","D-EU-O 25%",,"none","percent",-25,"kp_rrif_24022","kp_rrif_24022","FALSE",,"tax_tag_II_7","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU25D",15,"EU Stjecanje dobara 25%","EU 25% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-EU-P25,tax_tmpl_D-EU-O25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-EU-P5",100,"U-EU Pretporez 5% usluge","U-EU-P 5%",,"none","percent",5,"kp_rrif_14030","kp_rrif_14030","FALSE",,"tax_tag_III_8","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-EU-O5",100,"U-EU Obveza 5% usluge","U-EU-O 5%",,"none","percent",-5,"kp_rrif_24030","kp_rrif_24030","FALSE",,"tax_tag_II_8","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU5U",106,"EU Stjecanje usluge 5%","EU 5% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-EU-P5,tax_tmpl_U-EU-O5",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-EU-P13",100,"U-EU Pretporez 13% usluge ","U-EU-P 13%",,"none","percent",13,"kp_rrif_14031","kp_rrif_14031","FALSE",,"tax_tag_III_9","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-EU-O13",100,"U-EU Obveza 13% usluge","U-EU-O 13%",,"none","percent",-13,"kp_rrif_24031","kp_rrif_24031","FALSE",,"tax_tag_II_9","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU13U",56,"EU Stjecanje usluge 13%","EU 13% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-EU-P13,tax_tmpl_U-EU-O13",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-EU-P25",100,"D-EU Pretporez 25% usluge","U-EU-P 25%",,"none","percent",25,"kp_rrif_14031","kp_rrif_14032","FALSE",,"tax_tag_III_10","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-EU-O25",100,"D-EU Obveza 25% usluge","U-EU-O 25%",,"none","percent",-25,"kp_rrif_24032","kp_rrif_24032","FALSE",,"tax_tag_II_10","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU25U",16,"EU Stjecanje usluge 25%","EU 25% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-EU-P25,tax_tmpl_U-EU-O25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-INO-P5",100,"D-INO Preporez 5% dobra","D-INO-P 5%",,"none","percent",5,"kp_rrif_14050","kp_rrif_14050","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-INO-O5",100,"D-INO Obveza PDV 5% dobra","D-INO-O 5%",,"none","percent",-5,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO5D",107,"INO Primljena dobra izvan EU – 5%","INO 5% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-INO-P5,tax_tmpl_D-INO-O5",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-INO-P5",100,"D-INO Preporez 5% usluge","U-INO-P 5%",,"none","percent",5,"kp_rrif_14050","kp_rrif_14050","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-INO-O5",100,"D-INO Obveza PDV 5% usluge","U-INO-O 5%",,"none","percent",-5,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO5U",107,"D-INO Primljene usluge izvan EU – 5%","INO 5% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-INO-P5,tax_tmpl_U-INO-O5",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-INO-P13",100,"INO Preporez 13% dobra","D-INO-P 13%",,"none","percent",13,"kp_rrif_14051","kp_rrif_14051","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-INO-O13",100,"INO Obveza PDV 13% dobra","D-INO-O 13%",,"none","percent",-13,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO13D",57,"Primljena dobra izvan EU – 13%","INO 13% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-INO-P13,tax_tmpl_D-INO-O13",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-INO-P13",100,"INO Preporez 13% usluge","U-INO-P 13%",,"none","percent",13,"kp_rrif_14051","kp_rrif_14051","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-INO-O13",100,"INO Obveza PDV 13% usluge","U-INO-O 13%",,"none","percent",-13,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO13U",57,"Primljene usluge izvan EU – 13%","INO 13% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-INO-P13,tax_tmpl_U-INO-O13",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-INO-P25",100,"INO Preporez 25% dobra","D-INO-P 25%",,"none","percent",25,"kp_rrif_14052","kp_rrif_14052","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-INO-O25",100,"INO Obveza PDV 25% dobra","D-INO-O 25%",,"none","percent",-25,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO25D",17,"Primljena dobra izvan EU - 25%","INO 25% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-INO-P25,tax_tmpl_D-INO-O25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-INO-P25",100,"INO Preporez 25% usluge","U-INO-P 25%",,"none","percent",25,"kp_rrif_14052","kp_rrif_14052","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-INO-O25",100,"INO Obveza PDV 25% usluge","U-INO-O 25%",,"none","percent",-25,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO25U",17,"Primljene usluge izvan EU - 25%","INO 25% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-INO-P25,tax_tmpl_U-INO-O25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-BS25",120,"D-BS Obveza 25% roba","D-BS 25%",,"purchase","percent",25,"kp_rrif_14040","kp_rrif_14040","FALSE",,"tax_tag_III_3","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-BS-P5",120,"D-BS dobra i usluge 5%","D-BS-P 5%",,"purchase","percent",5,"kp_rrif_14042","kp_rrif_14042","FALSE",,"tax_tag_III_1","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-BS-P13",120,"D-BS dobra i usluge 13%","D-BS-P 13%",,"purchase","percent",13,"kp_rrif_14041","kp_rrif_14041","FALSE",,"tax_tag_III_2","l10n_hr_coa_rrif_2015_template"
