"id","sequence","name","description","tax_group_id/id","type_tax_use","amount_type","amount","account_id/id","refund_account_id/id","price_include","children_tax_ids/id","tag_ids/id","chart_template_id/id"
"tax_tmpl_EU5U",106,"EU Usluge 5%","EU 5% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-EU-P5,tax_tmpl_U-EU-O5",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-EU-P13",100,"U-EU Pretporez 13% usluge ","U-EU-P 13%",,"none","percent",13,"kp_rrif_14031","kp_rrif_14031","FALSE",,"tax_tag_III_9","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-EU-O13",100,"U-EU Obveza 13% usluge","U-EU-O 13%",,"none","percent",-13,"kp_rrif_24031","kp_rrif_24031","FALSE",,"tax_tag_II_9","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU13U",56,"EU Usluge 13%","EU 13% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-EU-P13,tax_tmpl_U-EU-O13",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-EU-P25",100,"D-EU Pretporez 25% usluge","U-EU-P 25%",,"none","percent",25,"kp_rrif_14031","kp_rrif_14032","FALSE",,"tax_tag_III_10","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-EU-O25",100,"D-EU Obveza 25% usluge","U-EU-O 25%",,"none","percent",-25,"kp_rrif_24032","kp_rrif_24032","FALSE",,"tax_tag_II_10","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU25U",16,"EU Usluge 25%","EU 25% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-EU-P25,tax_tmpl_U-EU-O25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-INO-P5",100,"D-INO Preporez 5% dobra","D-INO-P 5%",,"none","percent",5,"kp_rrif_14050","kp_rrif_14050","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-INO-O5",100,"D-INO Obveza PDV 5% dobra","D-INO-O 5%",,"none","percent",-5,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO5D",107,"Dobra van EU 5%","INO 5% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-INO-P5,tax_tmpl_D-INO-O5",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-INO-P5",100,"D-INO Preporez 5% usluge","U-INO-P 5%",,"none","percent",5,"kp_rrif_14050","kp_rrif_14050","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-INO-O5",100,"D-INO Obveza PDV 5% usluge","U-INO-O 5%",,"none","percent",-5,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO5U",107,"Usluge van EU 5%","INO 5% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-INO-P5,tax_tmpl_U-INO-O5",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-INO-P13",100,"INO Preporez 13% dobra","D-INO-P 13%",,"none","percent",13,"kp_rrif_14051","kp_rrif_14051","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-INO-O13",100,"INO Obveza PDV 13% dobra","D-INO-O 13%",,"none","percent",-13,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO13D",57,"Dobra van EU 13%","INO 13% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-INO-P13,tax_tmpl_D-INO-O13",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-INO-P13",100,"INO Preporez 13% usluge","U-INO-P 13%",,"none","percent",13,"kp_rrif_14051","kp_rrif_14051","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-INO-O13",100,"INO Obveza PDV 13% usluge","U-INO-O 13%",,"none","percent",-13,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO13U",57,"Usluge van EU 13%","INO 13% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-INO-P13,tax_tmpl_U-INO-O13",,"l10n_hr_coa_rrif_2015_template"
