id,code,name,description
tax_exempt_VATEX_EU_309,VATEX-EU-309,Exempt based on article 309 of Council Directive 2006/112/EC ,Travel agents performed outside of EU.
tax_exempt_VATEX_EU_AE,VATEX-EU-AE,Reverse charge,Only use with VAT category code AE
tax_exempt_VATEX_EU_D,VATEX-EU-D,Travel agents VAT scheme.,Only use with VAT category code E
tax_exempt_VATEX_EU_F,VATEX-EU-F,Second hand goods VAT scheme.,Only use with VAT category code E
tax_exempt_VATEX_EU_G,VATEX-EU-G,Export outside the EU,Only use with VAT category code G
tax_exempt_VATEX_EU_I,VATEX-EU-I,Works of art VAT scheme.,Only use with VAT category code E
tax_exempt_VATEX_EU_IC,VATEX-EU-IC,Intra-community supply,Only use with VAT category code K
tax_exempt_VATEX_EU_J,VATEX-EU-J,Collectors items and antiques VAT scheme.,Only use with VAT category code E
tax_exempt_VATEX_EU_O,VATEX-EU-O,Not subject to VAT,Only use with VAT category code O
tax_exempt_VATEX_FR_FRANCHISE,VATEX-FR-FRANCHISE,France domestic VAT franchise in base,For domestic invoicing in France
tax_exempt_VATEX_FR_CNWVAT,VATEX-FR-CNWVAT,"France domestic Credit Notes without VAT, due to supplier forfeit of VAT for discount",For domestic Credit Notes only in France
