id,amount,applicable_type,base_code_id/id,base_sign,chart_template_id/id,include_base_amount,description,account_collected_id/id,parent_id/id,ref_base_code_id/id,ref_base_sign,account_paid_id/id,ref_tax_code_id/id,ref_tax_sign,sequence,tax_code_id/id,tax_sign,price_include,name,type,type_tax_use,child_depend
rrif_pret_5_uvoz,0.05,True,pdv_code_o314,1.0,l10n_hr_chart_template_rrif,False,III.14. Pretporez pri uvozu 5%,kp_rrif14050,,pdv_code_o314,1.0,kp_rrif14050,pdv_code_p314,1.0,100,pdv_code_p314,1.0,False,Pretporez pri uvozu 5%,Percent,Purchase,False
rrif_pret_usluge_25_eu,0.25,True,,1.0,l10n_hr_chart_template_rrif,False,Pretporez usluge EU 25%,kp_rrif14032,,,1.0,kp_rrif14032,pdv_code_p310,1.0,1,pdv_code_p310,1.0,False,Pretporez usluge EU 25%,Percent,Purchase,False
rrif_pret25_dobra_EU,0.25,True,,1.0,l10n_hr_chart_template_rrif,False,Pretporez dobra EU 25%,kp_rrif14022,,,1.0,kp_rrif14022,pdv_code_p307,1.0,1,pdv_code_p307,1.0,False,Pretporez dobra EU 25%,Percent,Purchase,False
rrif_pret25_uvoz,0.25,True,pdv_code_o314,1.0,l10n_hr_chart_template_rrif,False,III.14. Pretporez pri uvozu 25%,kp_rrif14052,,pdv_code_o314,1.0,kp_rrif14052,pdv_code_p314,1.0,100,pdv_code_p314,1.0,False,Pretporez pri uvozu 25%,Percent,Purchase,False
rrif_pret5_dobra_EU,0.05,True,,1.0,l10n_hr_chart_template_rrif,False,Pretporez dobra EU 5%,kp_rrif14020,,,1.0,kp_rrif14020,pdv_code_p305,1.0,1,pdv_code_p305,1.0,False,Pretporez dobra EU 5%,Percent,Purchase,False
rrif_prijen_obv_13_usluge_eu,1.0,True,pdv_code_o309,1.0,l10n_hr_chart_template_rrif,False,III.9. Prijenos porezne obveze- 13% (usluge EU),,,pdv_code_o309,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze- 13% (usluge EU),Percent,Purchase,True
rrif_prijen_obv_tu,1.0,True,pdv_code_o304,1.0,l10n_hr_chart_template_rrif,False,III.4. Tuzemni prijenos porez.obveze,,,pdv_code_o304,1.0,,,1.0,100,,1.0,False,Tuzemni prijenos porez.obveze,Percent,Purchase,True
rrif_prijenos_13_stranci,1.0,True,pdv_code_o312,1.0,l10n_hr_chart_template_rrif,False,III.12. Prijenos porezne obveze- 13% (stranci),,,pdv_code_o312,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze- 13% (stranci),Percent,Purchase,True
rrif_prijenos_25_dobra_eu,1.0,True,pdv_code_o307,1.0,l10n_hr_chart_template_rrif,False,III.7. Prijenos porezne obveze- 25% (dobra EU),,,pdv_code_o307,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze- 25% (dobra EU),Percent,Purchase,False
rrif_prijenos_25_stranci,1.0,True,pdv_code_o313,1.0,l10n_hr_chart_template_rrif,False,III.13. Prijenos porezne obveze - 25% (stranci),,,pdv_code_o313,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze - 25% (stranci),Percent,Purchase,True
rrif_prijenos_25_usluge_eu,1.0,True,pdv_code_o310,1.0,l10n_hr_chart_template_rrif,False,III.10. Prijenos porezne obveze- 25% (usluge EU),,,pdv_code_o310,1.0,,,1.0,100,,1.0,False,Prijenos porezne obveze- 25% (usluge EU),Percent,Purchase,False
rrif_stjec_13_eu,0.13,True,pdv_code_o206,1.0,l10n_hr_chart_template_rrif,False,II.6. Stjec.dobara EU 13%,kp_rrif24021,,pdv_code_o206,1.0,kp_rrif24021,pdv_code_p206,1.0,100,pdv_code_p206,1.0,False,Stjec.dobara EU 13%,Percent,Sale,False
rrif_stjec_5_eu,0.05,True,pdv_code_o205,1.0,l10n_hr_chart_template_rrif,False,II.5. Stjec.dobara EU 5%,kp_rrif24020,,pdv_code_o205,1.0,kp_rrif24020,pdv_code_p205,1.0,100,pdv_code_p205,1.0,False,Stjec.dobara EU 5%,Percent,Sale,False
rrif_stjecanje_25_eu,0.25,True,pdv_code_o207,1.0,l10n_hr_chart_template_rrif,False,II.7. Stjec.dobara EU 25%,kp_rrif24022,,pdv_code_o207,1.0,kp_rrif24022,pdv_code_p207,1.0,100,pdv_code_p207,1.0,False,Stjec.dobara EU 25%,Percent,Sale,False
rrif_treci_13,0.13,True,pdv_code_o212,1.0,l10n_hr_chart_template_rrif,False,II.12. Prim. dob.i usl. treći 13%,kp_rrif24041,,pdv_code_o212,1.0,kp_rrif24041,pdv_code_p212,1.0,100,pdv_code_p212,1.0,False,Prim. dob.i usl. treći 13%,Percent,Sale,False
rrif_treci_25,0.25,True,pdv_code_o213,1.0,l10n_hr_chart_template_rrif,False,II.13. Prim. dob.i usl. treći 25%,kp_rrif24040,,pdv_code_o213,1.0,kp_rrif24040,pdv_code_p213,1.0,100,pdv_code_p213,1.0,False,Prim. dob.i usl. treći 25%,Percent,Sale,False
rrif_treci_5,0.05,True,pdv_code_o211,1.0,l10n_hr_chart_template_rrif,False,II.11. Prim. dob.i usl. treći 5%,kp_rrif24042,,pdv_code_o211,1.0,kp_rrif24042,pdv_code_p211,1.0,100,pdv_code_p211,1.0,False,Prim. dob.i usl. treći 5%,Percent,Sale,False
rrif_tu_po_0,1.0,True,pdv_code_o101,1.0,l10n_hr_chart_template_rrif,False,I.1. 0% osl. Tuzemi prijenos,kp_rrif_tk,,pdv_code_o101,1.0,kp_rrif_tk,pdv_code_neoporezivo,1.0,100,pdv_code_neoporezivo,1.0,False,0% osl. Tuzemi prijenos,Percent,Sale,False
rrif_usluge_13_eu,0.13,True,pdv_code_o209,1.0,l10n_hr_chart_template_rrif,False,II.9. Prim. usluge EU 13%,kp_rrif24031,,pdv_code_o209,1.0,kp_rrif24031,pdv_code_p209,1.0,100,pdv_code_p209,1.0,False,Prim. usluge EU 13%,Percent,Sale,False
rrif_usluge_25,0.25,True,pdv_code_o203,1.0,l10n_hr_chart_template_rrif,False,II.3. 25% PDV usluge RH,kp_rrif240012,,pdv_code_o203,1.0,kp_rrif240012,pdv_code_p203,1.0,100,pdv_code_p203,1.0,False,25% PDV usluge RH,Percent,Sale,False
rrif_usluge_25_eu,0.25,True,pdv_code_o210,1.0,l10n_hr_chart_template_rrif,False,II.10. Prim.usluge EU 25%,kp_rrif24032,,pdv_code_o210,1.0,kp_rrif24032,pdv_code_p210,1.0,100,pdv_code_p210,1.0,False,Prim.usluge EU 25%,Percent,Sale,False
rrif_usluge_5_eu,0.05,True,pdv_code_o208,1.0,l10n_hr_chart_template_rrif,False,II.8. Prim.usluge EU 5%,kp_rrif24030,,pdv_code_o208,1.0,kp_rrif24030,pdv_code_p208,1.0,100,pdv_code_p208,1.0,False,Prim.usluge EU 5%,Percent,Sale,False
rrif_pp13_obveza_stranci,-0.13,True,,1.0,l10n_hr_chart_template_rrif,False,Obveza stranci 13%,kp_rrif24041,rrif_usluge_25,,1.0,kp_rrif24041,pdv_code_p212,1.0,1,pdv_code_p212,1.0,False,Obveza stranci 13%,Percent,All,False
rrif_pret_13_stranci,0.13,True,,1.0,l10n_hr_chart_template_rrif,False,Pretporez stranci 13%,kp_rrif14040,rrif_usluge_25,,1.0,kp_rrif14040,pdv_code_p312,1.0,1,pdv_code_p312,1.0,False,Pretporez stranci 13%,Percent,Purchase,False
